"Fecha","Indicador","Territorio",Valor
"2020-04-10","Fallecidos","Soriano",0
"2020-04-10","Fallecidos","Tacuarembó",0
"2020-04-10","Fallecidos","Treinta y Tres",0
"2020-04-10","Personal de la salud  Confirmados","Todo el país",66
"2020-04-10","Personal de la salud  Recuperados","Todo el país",0
"2020-04-10","Personal de la salud  Activos","Todo el país",0
"2020-04-10","Personal de la salud  Fallecidos","Todo el país",0
"2020-04-10","Cantidad de Tests  Positivos","Todo el país",21
"2020-04-10","Cantidad de Tests  Negativos","Todo el país",619
"2020-04-10","Personas en CTI","Todo el país",15
"2020-04-10","Personas en CI","Todo el país",0
"2020-04-10","Fallecidos","Todo el país",7
"2020-04-10","Casos nuevos","Todo el país",26
"2020-04-11","Casos activos","Artigas",0
"2020-04-11","Casos activos","Canelones",34
"2020-04-11","Casos activos","Cerro Largo",0
"2020-04-11","Casos activos","Colonia",5
"2020-04-11","Casos activos","Durazno",0
"2020-04-11","Casos activos","Flores",0
"2020-04-11","Casos activos","Florida",0
"2020-04-11","Casos activos","Lavalleja",4
"2020-04-11","Casos activos","Maldonado",13
"2020-04-11","Casos activos","Montevideo",167
"2020-04-11","Casos activos","Paysandú",1
"2020-04-11","Casos activos","Río Negro",6
"2020-04-11","Casos activos","Rivera",1
"2020-04-11","Casos activos","Rocha",0
"2020-04-11","Casos activos","Salto",8
"2020-04-11","Casos activos","San José",2
"2020-04-11","Casos activos","Soriano",0
"2020-04-11","Casos activos","Tacuarembó",0
"2020-04-11","Casos activos","Treinta y Tres",0
"2020-04-11","Casos recuperados","Artigas",0
"2020-04-11","Casos recuperados","Canelones",43
"2020-04-11","Casos recuperados","Cerro Largo",0
"2020-04-11","Casos recuperados","Colonia",3
"2020-04-11","Casos recuperados","Durazno",0
"2020-04-11","Casos recuperados","Flores",1
"2020-04-11","Casos recuperados","Florida",0
"2020-04-11","Casos recuperados","Lavalleja",0
"2020-04-11","Casos recuperados","Maldonado",5
"2020-04-11","Casos recuperados","Montevideo",166
"2020-04-11","Casos recuperados","Paysandú",0
"2020-04-11","Casos recuperados","Río Negro",0
"2020-04-11","Casos recuperados","Rivera",0
"2020-04-11","Casos recuperados","Rocha",1
"2020-04-11","Casos recuperados","Salto",4
"2020-04-11","Casos recuperados","San José",0
"2020-04-11","Casos recuperados","Soriano",1
"2020-04-11","Casos recuperados","Tacuarembó",0
"2020-04-11","Casos recuperados","Treinta y Tres",0
"2020-04-11","Fallecidos","Artigas",0
"2020-04-11","Fallecidos","Canelones",0
"2020-04-11","Fallecidos","Cerro Largo",0
"2020-04-11","Fallecidos","Colonia",0
"2020-04-11","Fallecidos","Durazno",0
"2020-04-11","Fallecidos","Flores",0
"2020-04-11","Fallecidos","Florida",0
"2020-04-11","Fallecidos","Lavalleja",0
"2020-04-11","Fallecidos","Maldonado",1
"2020-04-11","Fallecidos","Montevideo",6
"2020-04-11","Fallecidos","Paysandú",0
"2020-04-11","Fallecidos","Río Negro",0
"2020-04-11","Fallecidos","Rivera",0
"2020-04-11","Fallecidos","Rocha",0
"2020-04-11","Fallecidos","Salto",0
"2020-04-11","Fallecidos","San José",0
"2020-04-11","Fallecidos","Soriano",0
"2020-04-11","Fallecidos","Tacuarembó",0
"2020-04-11","Fallecidos","Treinta y Tres",0
"2020-04-11","Personal de la salud  Confirmados ","Todo el país",71
"2020-04-11","Personal de la salud  Recuperados ","Todo el país",0
"2020-04-11","Personal de la salud  Activos ","Todo el país",0
"2020-04-11","Personal de la salud  Fallecidos ","Todo el país",0
"2020-04-11","Cantidad de Tests  Positivos ","Todo el país",7
"2020-04-11","Cantidad de Tests  Negativos ","Todo el país",611
"2020-04-11","Personas en CTI","Todo el país",16
"2020-04-11","Personas en CI","Todo el país",1
"2020-04-11","Fallecidos ","Todo el país",7
"2020-04-11","Casos nuevos ","Todo el país",7
"2020-04-12","Casos activos","Artigas",0
"2020-04-12","Casos activos","Canelones",32
"2020-04-12","Casos activos","Cerro Largo",0
"2020-04-12","Casos activos","Colonia",5
"2020-04-12","Casos activos","Durazno",0
"2020-04-12","Casos activos","Flores",0
"2020-04-12","Casos activos","Florida",0
"2020-04-12","Casos activos","Lavalleja",4
"2020-04-12","Casos activos","Maldonado",14
"2020-04-12","Casos activos","Montevideo",170
"2020-04-12","Casos activos","Paysandú",1
"2020-04-12","Casos activos","Río Negro",6
"2020-04-12","Casos activos","Rivera",1
"2020-04-12","Casos activos","Rocha",0
"2020-04-12","Casos activos","Salto",7
"2020-04-12","Casos activos","San José",2
"2020-04-12","Casos activos","Soriano",0
"2020-04-12","Casos activos","Tacuarembó",0
"2020-04-12","Casos activos","Treinta y Tres",0
"2020-04-12","Casos recuperados","Artigas",0
"2020-04-12","Casos recuperados","Canelones",46
"2020-04-12","Casos recuperados","Cerro Largo",0
"2020-04-12","Casos recuperados","Colonia",3
"2020-04-12","Casos recuperados","Durazno",0
"2020-04-12","Casos recuperados","Flores",1
"2020-04-12","Casos recuperados","Florida",0
"2020-04-12","Casos recuperados","Lavalleja",0
